FIPS,Province_State,date,deaths
42007,Pennsylvania,2020-02-18,0
42007,Pennsylvania,2020-02-19,0
42007,Pennsylvania,2020-02-20,0
42007,Pennsylvania,2020-02-21,0
42007,Pennsylvania,2020-02-22,0
42007,Pennsylvania,2020-02-23,0
42007,Pennsylvania,2020-02-24,0
42007,Pennsylvania,2020-02-25,0
42007,Pennsylvania,2020-02-26,0
42007,Pennsylvania,2020-02-27,0
42007,Pennsylvania,2020-02-28,0
42007,Pennsylvania,2020-02-29,0
42007,Pennsylvania,2020-03-01,0
42007,Pennsylvania,2020-03-02,0
42007,Pennsylvania,2020-03-03,0
42007,Pennsylvania,2020-03-04,0
42007,Pennsylvania,2020-03-05,0
42007,Pennsylvania,2020-03-06,0
42007,Pennsylvania,2020-03-07,0
42007,Pennsylvania,2020-03-08,0
42007,Pennsylvania,2020-03-09,0
42007,Pennsylvania,2020-03-10,0
42007,Pennsylvania,2020-03-11,0
42007,Pennsylvania,2020-03-12,0
42007,Pennsylvania,2020-03-13,0
42007,Pennsylvania,2020-03-14,0
42007,Pennsylvania,2020-03-15,0
42007,Pennsylvania,2020-03-16,0
42007,Pennsylvania,2020-03-17,0
42007,Pennsylvania,2020-03-18,0
42007,Pennsylvania,2020-03-19,0
42007,Pennsylvania,2020-03-20,0
42007,Pennsylvania,2020-03-21,0
42007,Pennsylvania,2020-03-22,0
42007,Pennsylvania,2020-03-23,0
42007,Pennsylvania,2020-03-24,0
42007,Pennsylvania,2020-03-25,0
42007,Pennsylvania,2020-03-26,0
42007,Pennsylvania,2020-03-27,0
42007,Pennsylvania,2020-03-28,0
42007,Pennsylvania,2020-03-29,0
42007,Pennsylvania,2020-03-30,0
42007,Pennsylvania,2020-03-31,1
42007,Pennsylvania,2020-04-01,2
42007,Pennsylvania,2020-04-02,2
42007,Pennsylvania,2020-04-03,2
42007,Pennsylvania,2020-04-04,6
42007,Pennsylvania,2020-04-05,6
42007,Pennsylvania,2020-04-06,6
42007,Pennsylvania,2020-04-07,9
42007,Pennsylvania,2020-04-08,13
42007,Pennsylvania,2020-04-09,13
42007,Pennsylvania,2020-04-10,13
42007,Pennsylvania,2020-04-11,13
42007,Pennsylvania,2020-04-12,13
42007,Pennsylvania,2020-04-13,13
42007,Pennsylvania,2020-04-14,14
42007,Pennsylvania,2020-04-15,14
42007,Pennsylvania,2020-04-16,14
42007,Pennsylvania,2020-04-17,15
42007,Pennsylvania,2020-04-18,31
42007,Pennsylvania,2020-04-19,32
42007,Pennsylvania,2020-04-20,36
42007,Pennsylvania,2020-04-21,43
42007,Pennsylvania,2020-04-22,47
42007,Pennsylvania,2020-04-23,47
42007,Pennsylvania,2020-04-24,47
42007,Pennsylvania,2020-04-25,46
42007,Pennsylvania,2020-04-26,46
42007,Pennsylvania,2020-04-27,46
42007,Pennsylvania,2020-04-28,59
42007,Pennsylvania,2020-04-29,65
42007,Pennsylvania,2020-04-30,65
