,epiweek,modelweek,region,fips,jhucsse__numnewpos,covidtracker__numnewpos,covidtracker__numnewneg,covidtracker__numnewtest,cdcili__num_patients,cdcili__num_providers,cdcili__wili,cdcili__ili,dohweb__numnewpos
73,202005,2612,pa,42009.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
72,202005,2612,pa,42007.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
71,202005,2612,pa,42005.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
85,202005,2612,pa,42033.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
102,202005,2612,pa,42067.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
136,202005,2612,pa,80042.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
103,202005,2612,pa,42069.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
134,202005,2612,pa,42131.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
133,202005,2612,pa,42129.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
132,202005,2612,pa,42127.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
131,202005,2612,pa,42125.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
130,202005,2612,pa,42123.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
129,202005,2612,pa,42121.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
128,202005,2612,pa,42119.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
127,202005,2612,pa,42117.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
126,202005,2612,pa,42115.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
125,202005,2612,pa,42113.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
124,202005,2612,pa,42111.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
123,202005,2612,pa,42109.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
122,202005,2612,pa,42107.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
121,202005,2612,pa,42105.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
120,202005,2612,pa,42103.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
119,202005,2612,pa,42101.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
118,202005,2612,pa,42099.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
104,202005,2612,pa,42071.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
105,202005,2612,pa,42073.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
106,202005,2612,pa,42075.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
107,202005,2612,pa,42077.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
108,202005,2612,pa,42079.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
109,202005,2612,pa,42081.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
70,202005,2612,pa,42003.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
110,202005,2612,pa,42083.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
112,202005,2612,pa,42087.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
113,202005,2612,pa,42089.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
114,202005,2612,pa,42091.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
115,202005,2612,pa,42093.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
116,202005,2612,pa,42095.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
117,202005,2612,pa,42097.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
111,202005,2612,pa,42085.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
135,202005,2612,pa,42133.0,0.0,,,,53216.0,123.0,4.91394,4.91394,
138,202006,2613,pa,42001.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
204,202006,2613,pa,42133.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
168,202006,2613,pa,42061.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
167,202006,2613,pa,42059.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
166,202006,2613,pa,42057.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
165,202006,2613,pa,42055.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
164,202006,2613,pa,42053.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
163,202006,2613,pa,42051.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
162,202006,2613,pa,42049.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
161,202006,2613,pa,42047.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
160,202006,2613,pa,42045.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
159,202006,2613,pa,42043.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
158,202006,2613,pa,42041.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
157,202006,2613,pa,42039.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
156,202006,2613,pa,42037.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
155,202006,2613,pa,42035.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
169,202006,2613,pa,42063.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
154,202006,2613,pa,42033.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
152,202006,2613,pa,42029.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
151,202006,2613,pa,42027.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
150,202006,2613,pa,42025.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
149,202006,2613,pa,42023.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
148,202006,2613,pa,42021.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
147,202006,2613,pa,42019.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
146,202006,2613,pa,42017.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
145,202006,2613,pa,42015.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
144,202006,2613,pa,42013.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
143,202006,2613,pa,42011.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
142,202006,2613,pa,42009.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
141,202006,2613,pa,42007.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
140,202006,2613,pa,42005.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
139,202006,2613,pa,42003.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
153,202006,2613,pa,42031.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
170,202006,2613,pa,42065.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
171,202006,2613,pa,42067.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
172,202006,2613,pa,42069.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
203,202006,2613,pa,42131.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
202,202006,2613,pa,42129.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
201,202006,2613,pa,42127.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
200,202006,2613,pa,42125.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
199,202006,2613,pa,42123.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
198,202006,2613,pa,42121.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
197,202006,2613,pa,42119.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
196,202006,2613,pa,42117.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
195,202006,2613,pa,42115.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
194,202006,2613,pa,42113.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
193,202006,2613,pa,42111.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
192,202006,2613,pa,42109.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
191,202006,2613,pa,42107.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
190,202006,2613,pa,42105.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
189,202006,2613,pa,42103.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
188,202006,2613,pa,42101.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
187,202006,2613,pa,42099.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
173,202006,2613,pa,42071.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
174,202006,2613,pa,42073.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
175,202006,2613,pa,42075.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
176,202006,2613,pa,42077.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
177,202006,2613,pa,42079.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
178,202006,2613,pa,42081.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
205,202006,2613,pa,80042.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
179,202006,2613,pa,42083.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
181,202006,2613,pa,42087.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
182,202006,2613,pa,42089.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
183,202006,2613,pa,42091.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
184,202006,2613,pa,42093.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
185,202006,2613,pa,42095.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
186,202006,2613,pa,42097.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
180,202006,2613,pa,42085.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
206,202006,2613,pa,90042.0,0.0,,,,53169.0,127.0,5.07815,5.07815,
275,202007,2614,pa,90042.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
240,202007,2614,pa,42067.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
243,202007,2614,pa,42073.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
244,202007,2614,pa,42075.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
245,202007,2614,pa,42077.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
246,202007,2614,pa,42079.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
247,202007,2614,pa,42081.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
248,202007,2614,pa,42083.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
249,202007,2614,pa,42085.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
250,202007,2614,pa,42087.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
251,202007,2614,pa,42089.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
252,202007,2614,pa,42091.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
253,202007,2614,pa,42093.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
254,202007,2614,pa,42095.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
255,202007,2614,pa,42097.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
256,202007,2614,pa,42099.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
242,202007,2614,pa,42071.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
257,202007,2614,pa,42101.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
259,202007,2614,pa,42105.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
260,202007,2614,pa,42107.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
261,202007,2614,pa,42109.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
262,202007,2614,pa,42111.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
263,202007,2614,pa,42113.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
264,202007,2614,pa,42115.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
265,202007,2614,pa,42117.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
266,202007,2614,pa,42119.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
267,202007,2614,pa,42121.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
268,202007,2614,pa,42123.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
269,202007,2614,pa,42125.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
270,202007,2614,pa,42127.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
271,202007,2614,pa,42129.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
272,202007,2614,pa,42131.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
258,202007,2614,pa,42103.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
241,202007,2614,pa,42069.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
239,202007,2614,pa,42065.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
238,202007,2614,pa,42063.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
207,202007,2614,pa,42001.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
208,202007,2614,pa,42003.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
209,202007,2614,pa,42005.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
210,202007,2614,pa,42007.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
211,202007,2614,pa,42009.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
212,202007,2614,pa,42011.0,0.0,,,,73268.0,127.0,4.33477,4.33477,
